circle,cluster,Time,Attempt,Answered,CSSR,ASR,Day_of_week,Hour
Andhra Pradesh,cluster 1,2023-06-29-01,253235,121632,99.77,49,Thursday,1
Andhra Pradesh,cluster 1,2023-06-29-02,163245,78022,99.83,50.26,Thursday,2
Andhra Pradesh,cluster 1,2023-06-29-03,177193,83210,99.9,53.04,Thursday,3
Andhra Pradesh,cluster 1,2023-06-29-04,288707,141981,99.76,55.27,Thursday,4
Andhra Pradesh,cluster 1,2023-06-29-05,885999,449347,99.73,56.11,Thursday,5
Andhra Pradesh,cluster 1,2023-06-29-06,2734460,1463059,99.78,56,Thursday,6
Andhra Pradesh,cluster 1,2023-06-29-07,5147553,2869398,99.88,55.92,Thursday,7
Andhra Pradesh,cluster 1,2023-06-29-08,7244517,4098537,99.94,56.02,Thursday,8
Andhra Pradesh,cluster 1,2023-06-29-09,8681049,4903031,99.81,56.3,Thursday,9
Andhra Pradesh,cluster 1,2023-06-29-10,9601823,5419741,99.98,56.24,Thursday,10
Andhra Pradesh,cluster 1,2023-06-29-11,9635802,5454180,99.82,55.18,Thursday,11
Andhra Pradesh,cluster 1,2023-06-29-12,9250045,5256840,99.72,47.39,Thursday,12
Andhra Pradesh,cluster 1,2023-06-29-13,8508266,4832856,99.84,47.69,Thursday,13
Andhra Pradesh,cluster 1,2023-06-29-14,7425402,4141871,99.78,47.37,Thursday,14
Andhra Pradesh,cluster 1,2023-06-29-15,6854896,3976569,99.73,48.14,Thursday,15
Andhra Pradesh,cluster 1,2023-06-29-16,5392428,3731304,99.76,49.27,Thursday,16
Andhra Pradesh,cluster 1,2023-06-29-17,4675416,3045391,99.75,50.26,Thursday,17
Andhra Pradesh,cluster 1,2023-06-29-18,5094573,3536585,99.88,52.99,Thursday,18
Andhra Pradesh,cluster 1,2023-06-29-19,5165532,3746609,99.77,55.3,Thursday,19
Andhra Pradesh,cluster 1,2023-06-29-20,5378290,3657890,99.73,56.04,Thursday,20
Andhra Pradesh,cluster 1,2023-06-29-21,5276493,3584922,99.78,55.92,Thursday,21
Andhra Pradesh,cluster 1,2023-06-29-22,732479,631398,99.81,55.9,Thursday,22
Andhra Pradesh,cluster 1,2023-06-29-23,605479,431436,99.73,56.06,Thursday,23
Andhra Pradesh,cluster 1,2023-06-30-00,515471,247564,99.81,56.37,Friday,0
Andhra Pradesh,cluster 1,2023-06-30-01,253189,121704,99.94,56.21,Friday,1
Andhra Pradesh,cluster 1,2023-06-30-02,163287,77970,99.72,55.17,Friday,2
Andhra Pradesh,cluster 1,2023-06-30-03,177175,83279,99.74,47.37,Friday,3
Andhra Pradesh,cluster 1,2023-06-30-04,288729,141977,99.74,46.96,Friday,4
Andhra Pradesh,cluster 1,2023-06-30-05,885981,449321,99.79,46.39,Friday,5
Andhra Pradesh,cluster 1,2023-06-30-06,2734433,1463123,99.83,46.91,Friday,6
Andhra Pradesh,cluster 1,2023-06-30-07,5147563,2869424,99.85,48.95,Friday,7
Andhra Pradesh,cluster 1,2023-06-30-08,7244531,4098578,99.92,50.13,Friday,8
Andhra Pradesh,cluster 1,2023-06-30-09,8681066,4903051,99.82,53.13,Friday,9
Andhra Pradesh,cluster 1,2023-06-30-10,9601922,5419760,99.79,55.29,Friday,10
Andhra Pradesh,cluster 1,2023-06-30-11,9635835,5454211,99.82,56.1,Friday,11
Andhra Pradesh,cluster 1,2023-06-30-12,9250118,5256921,99.74,56.03,Friday,12
Andhra Pradesh,cluster 1,2023-06-30-13,8508356,4832802,99.75,55.9,Friday,13
Andhra Pradesh,cluster 1,2023-06-30-14,7425437,4141983,99.82,56.03,Friday,14
Andhra Pradesh,cluster 1,2023-06-30-15,6855016,3976626,99.73,56.36,Friday,15
Andhra Pradesh,cluster 1,2023-06-30-16,5392431,3731402,99.94,56.26,Friday,16
Andhra Pradesh,cluster 1,2023-06-30-17,4675412,3045438,99.81,55.21,Friday,17
Andhra Pradesh,cluster 1,2023-06-30-18,3094618,2536634,99.77,39.29,Friday,18
Andhra Pradesh,cluster 1,2023-06-30-19,2065550,1746695,99.05,37.3,Friday,19
Andhra Pradesh,cluster 1,2023-06-30-20,1472787,953788,99.78,37.16,Friday,20
Andhra Pradesh,cluster 1,2023-06-30-21,962587,863500,99.76,38.63,Friday,21
Andhra Pradesh,cluster 1,2023-06-30-22,732489,631449,99.87,41.74,Friday,22
Andhra Pradesh,cluster 1,2023-06-30-23,605570,431496,99.85,43.77,Friday,23
Andhra Pradesh,cluster 1,2023-07-01-00,515450,247504,99.03,47.01,Saturday,0
Andhra Pradesh,cluster 1,2023-07-01-01,253254,121631,99.81,49.53,Saturday,1
Andhra Pradesh,cluster 1,2023-07-01-02,163271,77978,99.89,51.42,Saturday,2
Andhra Pradesh,cluster 1,2023-07-01-03,177117,83214,98.92,52.46,Saturday,3
Andhra Pradesh,cluster 1,2023-07-01-04,288629,142055,99.75,53.58,Saturday,4
Andhra Pradesh,cluster 1,2023-07-01-05,885967,449300,99.79,54.24,Saturday,5
Andhra Pradesh,cluster 1,2023-07-01-06,2734380,1463054,99.87,54.31,Saturday,6
Andhra Pradesh,cluster 1,2023-07-01-07,5147496,2869382,99.7,54.05,Saturday,7
Andhra Pradesh,cluster 1,2023-07-01-08,7244509,4098600,99.7,52.37,Saturday,8
Andhra Pradesh,cluster 1,2023-07-01-09,8681049,4902988,99.83,39.17,Saturday,9
Andhra Pradesh,cluster 1,2023-07-01-10,9601823,5419726,99.85,37.49,Saturday,10
Andhra Pradesh,cluster 1,2023-07-01-11,9635783,5454115,99.79,37.23,Saturday,11
Andhra Pradesh,cluster 1,2023-07-01-12,9250088,5256845,99.84,38.48,Saturday,12
Andhra Pradesh,cluster 1,2023-07-01-13,8508274,4832806,99.9,41.12,Saturday,13
Andhra Pradesh,cluster 1,2023-07-01-14,7425426,4141902,99.76,43.82,Saturday,14
Andhra Pradesh,cluster 1,2023-07-01-15,6854954,3976581,99.83,46.98,Saturday,15
Andhra Pradesh,cluster 1,2023-07-01-16,5392505,3731366,99.78,49.54,Saturday,16
Andhra Pradesh,cluster 1,2023-07-01-17,4675344,3045377,99.86,51.38,Saturday,17
Andhra Pradesh,cluster 1,2023-07-01-18,3094655,2536609,99.75,52.48,Saturday,18
Andhra Pradesh,cluster 1,2023-07-01-19,2065530,1746604,99.73,53.59,Saturday,19
Andhra Pradesh,cluster 1,2023-07-01-20,1472762,953742,99.81,54.21,Saturday,20
Andhra Pradesh,cluster 1,2023-07-01-21,962598,863473,99.98,54.28,Saturday,21
Andhra Pradesh,cluster 1,2023-07-01-22,732452,631442,99.86,54.07,Saturday,22
Andhra Pradesh,cluster 1,2023-07-01-23,605532,431451,99.75,52.61,Saturday,23
Andhra Pradesh,cluster 1,2023-07-02-00,515385,247495,99.72,38.94,Sunday,0
Andhra Pradesh,cluster 1,2023-07-02-01,253265,121681,99.88,38.22,Sunday,1
Andhra Pradesh,cluster 1,2023-07-02-02,163345,77998,99.73,37.28,Sunday,2
Andhra Pradesh,cluster 1,2023-07-02-03,177140,83368,99.82,37.99,Sunday,3
Andhra Pradesh,cluster 1,2023-07-02-04,288749,142013,99.88,40.02,Sunday,4
Andhra Pradesh,cluster 1,2023-07-02-05,885994,449305,99.83,43.28,Sunday,5
Andhra Pradesh,cluster 1,2023-07-02-06,2734519,1463074,99.85,46.64,Sunday,6
Andhra Pradesh,cluster 1,2023-07-02-07,5147495,2869463,99.94,49.13,Sunday,7
Andhra Pradesh,cluster 1,2023-07-02-08,7244627,4098614,99.73,50.82,Sunday,8
Andhra Pradesh,cluster 1,2023-07-02-09,8681027,4903076,99.23,51.68,Sunday,9
Andhra Pradesh,cluster 1,2023-07-02-10,9601904,5419773,99.76,52.22,Sunday,10
Andhra Pradesh,cluster 1,2023-07-02-11,9635750,5454162,99.75,52.41,Sunday,11
Andhra Pradesh,cluster 1,2023-07-02-12,9250105,5256923,99.73,52.21,Sunday,12
Andhra Pradesh,cluster 1,2023-07-02-13,8508373,4832846,99.86,51.66,Sunday,13
Andhra Pradesh,cluster 1,2023-07-02-14,7425463,4141953,99.82,50.82,Sunday,14
Andhra Pradesh,cluster 1,2023-07-02-15,6855020,3976611,99.82,39.16,Sunday,15
Andhra Pradesh,cluster 1,2023-07-02-16,5392524,3731370,99.77,38.16,Sunday,16
Andhra Pradesh,cluster 1,2023-07-02-17,4675415,3045445,99.77,37.4,Sunday,17
Andhra Pradesh,cluster 1,2023-07-02-18,3094686,2536672,99.93,37.63,Sunday,18
Andhra Pradesh,cluster 1,2023-07-02-19,5378290,3657890,99.73,40.18,Sunday,19
Andhra Pradesh,cluster 1,2023-07-02-20,5276493,3584922,99.78,43.3,Sunday,20
Andhra Pradesh,cluster 1,2023-07-02-21,732479,631398,99.81,46.75,Sunday,21
Andhra Pradesh,cluster 1,2023-07-02-22,732451,631446,99.72,49.19,Sunday,22
Andhra Pradesh,cluster 1,2023-07-02-23,605547,431470,99.81,50.83,Sunday,23
Andhra Pradesh,cluster 1,2023-07-03-00,515472,247513,99.3,51.67,Monday,0
Andhra Pradesh,cluster 1,2023-07-03-01,253242,121665,99.87,52.21,Monday,1
Andhra Pradesh,cluster 1,2023-07-03-02,163280,78056,99.91,52.46,Monday,2
Andhra Pradesh,cluster 1,2023-07-03-03,177193,83220,99.83,52.25,Monday,3
Andhra Pradesh,cluster 1,2023-07-03-04,288736,141984,99.74,51.65,Monday,4
Andhra Pradesh,cluster 1,2023-07-03-05,886075,449419,99.99,50.88,Monday,5
Andhra Pradesh,cluster 1,2023-07-03-06,2734463,1463061,99.81,38.94,Monday,6
Andhra Pradesh,cluster 1,2023-07-03-07,5147557,2869465,99.82,37.97,Monday,7
Andhra Pradesh,cluster 1,2023-07-03-08,7244538,4098553,99.77,37.34,Monday,8
Andhra Pradesh,cluster 1,2023-07-03-09,8681055,4903081,99.83,37.9,Monday,9
Andhra Pradesh,cluster 1,2023-07-03-10,9601832,5419800,99.83,40.19,Monday,10
Andhra Pradesh,cluster 1,2023-07-03-11,9635858,5454269,99.81,43.27,Monday,11
Andhra Pradesh,cluster 1,2023-07-03-12,9250052,5256878,99.89,46.74,Monday,12
Andhra Pradesh,cluster 1,2023-07-03-13,8508300,4832860,98.92,49.18,Monday,13
Andhra Pradesh,cluster 1,2023-07-03-14,7425497,4141925,99.75,50.89,Monday,14
Andhra Pradesh,cluster 1,2023-07-03-15,6854972,3976569,99.91,51.78,Monday,15
Andhra Pradesh,cluster 1,2023-07-03-16,5392527,3731369,99.87,52.25,Monday,16
Andhra Pradesh,cluster 1,2023-07-03-17,4675468,3045465,99.7,52.39,Monday,17
Andhra Pradesh,cluster 1,2023-07-03-18,3094672,2536680,99.7,52.22,Monday,18
Andhra Pradesh,cluster 1,2023-07-03-19,5392527,3731369,99.87,51.62,Monday,19
Andhra Pradesh,cluster 1,2023-07-03-20,4675468,3045465,99.7,50.79,Monday,20
Andhra Pradesh,cluster 1,2023-07-03-21,3094672,2536680,99.7,38.98,Monday,21
Andhra Pradesh,cluster 1,2023-07-03-22,732572,631433,99.84,37.8,Monday,22
Andhra Pradesh,cluster 1,2023-07-03-23,605561,431451,99.9,37.43,Monday,23
Andhra Pradesh,cluster 1,2023-07-04-00,515567,247629,99.76,38.28,Tuesday,0
Andhra Pradesh,cluster 1,2023-07-04-01,253191,121776,99.83,40.03,Tuesday,1
Andhra Pradesh,cluster 1,2023-07-04-02,163318,77970,99.78,43.17,Tuesday,2
Andhra Pradesh,cluster 1,2023-07-04-03,177212,83279,99.86,46.69,Tuesday,3
Andhra Pradesh,cluster 1,2023-07-04-04,288775,141991,99.75,49.13,Tuesday,4
Andhra Pradesh,cluster 1,2023-07-04-05,886048,449405,99.73,50.78,Tuesday,5
Andhra Pradesh,cluster 1,2023-07-04-06,2734528,1463210,99.91,51.74,Tuesday,6
Andhra Pradesh,cluster 1,2023-07-04-07,5147570,2869512,99.98,52.21,Tuesday,7
Andhra Pradesh,cluster 1,2023-07-04-08,7244543,4098675,99.86,52.34,Tuesday,8
Andhra Pradesh,cluster 1,2023-07-04-09,8681067,4903057,99.75,52.25,Tuesday,9
Andhra Pradesh,cluster 1,2023-07-04-10,9601961,5419805,99.72,51.68,Tuesday,10
Andhra Pradesh,cluster 1,2023-07-04-11,9635886,5454299,99.88,50.85,Tuesday,11
Andhra Pradesh,cluster 1,2023-07-04-12,9250167,5256980,99.73,38.91,Tuesday,12
Andhra Pradesh,cluster 1,2023-07-04-13,8508377,4832825,99.82,38.34,Tuesday,13
Andhra Pradesh,cluster 1,2023-07-04-14,7425484,4141988,99.88,37.6,Tuesday,14
Andhra Pradesh,cluster 1,2023-07-04-15,6855020,3976724,99.83,38.26,Tuesday,15
Andhra Pradesh,cluster 1,2023-07-04-16,5392452,3731457,99.85,40.14,Tuesday,16
Andhra Pradesh,cluster 1,2023-07-04-17,4675475,3045452,99.94,43.18,Tuesday,17
Andhra Pradesh,cluster 1,2023-07-04-18,3094660,2536676,99.73,46.77,Tuesday,18
Andhra Pradesh,cluster 1,2023-07-04-19,5392527,3731369,99.87,49.15,Tuesday,19
Andhra Pradesh,cluster 1,2023-07-04-20,4675468,3045465,99.7,50.82,Tuesday,20
Andhra Pradesh,cluster 1,2023-07-04-21,3094672,2536680,99.7,51.72,Tuesday,21
Andhra Pradesh,cluster 1,2023-07-04-22,732531,631494,99.73,52.2,Tuesday,22
Andhra Pradesh,cluster 1,2023-07-04-23,605630,431552,99.86,52.36,Tuesday,23
Andhra Pradesh,cluster 1,2023-07-05-00,515380,247471,99.73,52.23,Wednesday,0
Andhra Pradesh,cluster 1,2023-07-05-01,253257,121660,99.78,51.63,Wednesday,1
Andhra Pradesh,cluster 1,2023-07-05-02,163215,78004,99.76,50.85,Wednesday,2
Andhra Pradesh,cluster 1,2023-07-05-03,177097,83270,99.25,39.04,Wednesday,3
Andhra Pradesh,cluster 1,2023-07-05-04,288718,142036,99.7,38.37,Wednesday,4
Andhra Pradesh,cluster 1,2023-07-05-05,885960,449333,99.73,37.54,Wednesday,5
Andhra Pradesh,cluster 1,2023-07-05-06,2734407,1463008,99.76,38.22,Wednesday,6
Andhra Pradesh,cluster 1,2023-07-05-07,5147476,2869414,99.97,40.05,Wednesday,7
Andhra Pradesh,cluster 1,2023-07-05-08,7244500,4098578,99.87,43.28,Wednesday,8
Andhra Pradesh,cluster 1,2023-07-05-09,8681014,4903001,99.96,46.67,Wednesday,9
Andhra Pradesh,cluster 1,2023-07-05-10,9601811,5419698,99.78,49.13,Wednesday,10
Andhra Pradesh,cluster 1,2023-07-05-11,9635792,5454162,99.84,50.79,Wednesday,11
Andhra Pradesh,cluster 1,2023-07-05-12,9250034,5256847,99.79,51.69,Wednesday,12
Andhra Pradesh,cluster 1,2023-07-05-13,8508280,4832821,99.76,52.2,Wednesday,13
Andhra Pradesh,cluster 1,2023-07-05-14,7425380,4141929,99.77,52.42,Wednesday,14
Andhra Pradesh,cluster 1,2023-07-05-15,6854935,3976568,99.73,52.24,Wednesday,15
Andhra Pradesh,cluster 1,2023-07-05-16,5392484,3731302,99.73,51.64,Wednesday,16
Andhra Pradesh,cluster 1,2023-07-05-17,4675400,3045395,99.76,50.83,Wednesday,17
Andhra Pradesh,cluster 1,2023-07-05-18,3094603,2536565,99.72,45.15,Wednesday,18
Andhra Pradesh,cluster 1,2023-07-05-19,163215,78004,99.76,43.84,Wednesday,19
Andhra Pradesh,cluster 1,2023-07-05-20,253257,121660,99.78,42.99,Wednesday,20
Andhra Pradesh,cluster 1,2023-07-05-21,177097,83270,99.25,43.62,Wednesday,21
Andhra Pradesh,cluster 1,2023-07-05-22,732462,631472,99.73,43.68,Wednesday,22
Andhra Pradesh,cluster 1,2023-07-05-23,605482,431406,99.9,44.51,Wednesday,23
Andhra Pradesh,cluster 1,2023-07-06-00,515420,247525,99.78,47.05,Thursday,0
Andhra Pradesh,cluster 1,2023-07-06-01,253236,121650,99.93,49.71,Thursday,1
Andhra Pradesh,cluster 1,2023-07-06-02,163292,77955,99.78,51.56,Thursday,2
Andhra Pradesh,cluster 1,2023-07-06-03,177204,83351,99.72,52.55,Thursday,3
Andhra Pradesh,cluster 1,2023-07-06-04,288663,141966,99.91,53.1,Thursday,4
Andhra Pradesh,cluster 1,2023-07-06-05,885976,449307,99.86,53.41,Thursday,5
Andhra Pradesh,cluster 1,2023-07-06-06,2734492,1463077,99.85,53.53,Thursday,6
Andhra Pradesh,cluster 1,2023-07-06-07,5147554,2869395,99.85,53.46,Thursday,7
Andhra Pradesh,cluster 1,2023-07-06-08,7244612,4098624,99.75,52.98,Thursday,8
Andhra Pradesh,cluster 1,2023-07-06-09,8681036,4903052,99.03,44.89,Thursday,9
Andhra Pradesh,cluster 1,2023-07-06-10,9601939,5419761,99.73,43.36,Thursday,10
Andhra Pradesh,cluster 1,2023-07-06-11,9635775,5454207,99.73,43,Thursday,11
Andhra Pradesh,cluster 1,2023-07-06-12,9250102,5256925,99.88,43.11,Thursday,12
Andhra Pradesh,cluster 1,2023-07-06-13,8508308,4832778,99.87,43.66,Thursday,13
Andhra Pradesh,cluster 1,2023-07-06-14,7425440,4141982,99.82,44.65,Thursday,14
Andhra Pradesh,cluster 1,2023-07-06-15,6854935,3976626,99.73,46.93,Thursday,15
Andhra Pradesh,cluster 1,2023-07-06-16,5392452,3731403,99.73,49.63,Thursday,16
Andhra Pradesh,cluster 1,2023-07-06-17,4675445,3045449,99.79,51.49,Thursday,17
Andhra Pradesh,cluster 1,2023-07-06-18,3094640,2536631,99.93,52.53,Thursday,18
Andhra Pradesh,cluster 1,2023-07-06-19,3094603,2536565,99.72,53.04,Thursday,19
Andhra Pradesh,cluster 1,2023-07-06-20,163215,78004,99.76,53.43,Thursday,20
Andhra Pradesh,cluster 1,2023-07-06-21,253257,121660,99.78,53.58,Thursday,21
Andhra Pradesh,cluster 1,2023-07-06-22,732516,631509,99.86,53.48,Thursday,22
Andhra Pradesh,cluster 1,2023-07-06-23,605555,431413,99.81,52.87,Thursday,23
Andhra Pradesh,cluster 1,2023-07-07-00,515470,247488,99.02,45.09,Friday,0
Andhra Pradesh,cluster 1,2023-07-07-01,253275,121685,99.8,44.01,Friday,1
Andhra Pradesh,cluster 1,2023-07-07-02,163305,78073,99.81,43.19,Friday,2
Andhra Pradesh,cluster 1,2023-07-07-03,177256,83268,99.81,43.24,Friday,3
Andhra Pradesh,cluster 1,2023-07-07-04,288739,142073,99.78,43.62,Friday,4
Andhra Pradesh,cluster 1,2023-07-07-05,886079,449395,99.7,44.54,Friday,5
Andhra Pradesh,cluster 1,2023-07-07-06,2734489,1463094,99.87,47.04,Friday,6
Andhra Pradesh,cluster 1,2023-07-07-07,5147650,2869450,99.75,49.68,Friday,7
Andhra Pradesh,cluster 1,2023-07-07-08,7244594,4098548,99.78,51.56,Friday,8
Andhra Pradesh,cluster 1,2023-07-07-09,8681132,4903036,99.77,52.52,Friday,9
Andhra Pradesh,cluster 1,2023-07-07-10,9601867,5419801,99.92,53.04,Friday,10
Andhra Pradesh,cluster 1,2023-07-07-11,9635845,5454200,99.9,53.39,Friday,11
Andhra Pradesh,cluster 1,2023-07-07-12,9250082,5256901,99.76,53.4,Friday,12
Andhra Pradesh,cluster 1,2023-07-07-13,8508299,4832896,99.88,53.41,Friday,13
Andhra Pradesh,cluster 1,2023-07-07-14,7425462,4141912,99.73,52.94,Friday,14
Andhra Pradesh,cluster 1,2023-07-07-15,6854913,3976589,99.29,47.21,Friday,15
Andhra Pradesh,cluster 1,2023-07-07-16,5392431,3731401,99.78,45.53,Friday,16
Andhra Pradesh,cluster 1,2023-07-07-17,4675456,3045411,99.74,44.75,Friday,17
Andhra Pradesh,cluster 1,2023-07-07-18,3094603,2536565,99.72,44.42,Friday,18
Andhra Pradesh,cluster 1,2023-07-07-19,163215,78004,99.76,45.78,Friday,19
Andhra Pradesh,cluster 1,2023-07-07-20,253257,121660,99.78,46.94,Friday,20
Andhra Pradesh,cluster 1,2023-07-07-21,4675456,3045411,99.74,51.46,Friday,21
Andhra Pradesh,cluster 1,2023-07-07-22,732489,631497,99.84,55.07,Friday,22
Andhra Pradesh,cluster 1,2023-07-07-23,605529,431447,99.7,57.32,Friday,23
Andhra Pradesh,cluster 1,2023-07-08-00,515556,247582,99.85,58.57,Saturday,0
Andhra Pradesh,cluster 1,2023-07-08-01,253230,121771,99.74,59.03,Saturday,1
Andhra Pradesh,cluster 1,2023-07-08-02,163370,78032,99.73,59.25,Saturday,2
Andhra Pradesh,cluster 1,2023-07-08-03,177203,83345,99.79,59.22,Saturday,3
Andhra Pradesh,cluster 1,2023-07-08-04,288807,142024,99.85,58.51,Saturday,4
Andhra Pradesh,cluster 1,2023-07-08-05,886046,449370,99.77,57.61,Saturday,5
Andhra Pradesh,cluster 1,2023-07-08-06,2734450,1463166,99.73,47.37,Saturday,6
Andhra Pradesh,cluster 1,2023-07-08-07,5147653,2869483,99.89,45.41,Saturday,7
Andhra Pradesh,cluster 1,2023-07-08-08,7244551,4098600,99.88,44.64,Saturday,8
Andhra Pradesh,cluster 1,2023-07-08-09,8681132,4903120,99.86,45.17,Saturday,9
Andhra Pradesh,cluster 1,2023-07-08-10,9601964,5419794,99.77,46.11,Saturday,10
Andhra Pradesh,cluster 1,2023-07-08-11,9635903,5454266,99.8,46.8,Saturday,11
Andhra Pradesh,cluster 1,2023-07-08-12,9250191,5257019,99.72,51.31,Saturday,12
Andhra Pradesh,cluster 1,2023-07-08-13,8508440,4832817,99.75,55.09,Saturday,13
Andhra Pradesh,cluster 1,2023-07-08-14,7425460,4142074,99.84,57.32,Saturday,14
Andhra Pradesh,cluster 1,2023-07-08-15,6855071,3976627,99.72,58.59,Saturday,15
Andhra Pradesh,cluster 1,2023-07-08-16,5392433,3731477,99.82,59.06,Saturday,16
Andhra Pradesh,cluster 1,2023-07-08-17,4675492,3045461,99.73,59.24,Saturday,17
Andhra Pradesh,cluster 1,2023-07-08-18,3094639,2536705,99.79,59.21,Saturday,18
Andhra Pradesh,cluster 1,2023-07-08-19,7425460,4142074,99.84,58.48,Saturday,19
Andhra Pradesh,cluster 1,2023-07-08-20,6855071,3976627,99.72,57.34,Saturday,20
Andhra Pradesh,cluster 1,2023-07-08-21,5392433,3731477,99.82,47.13,Saturday,21
Andhra Pradesh,cluster 1,2023-07-08-22,732558,631535,99.88,45.48,Saturday,22
Andhra Pradesh,cluster 1,2023-07-08-23,605631,431555,99.95,44.64,Saturday,23
Andhra Pradesh,cluster 1,2023-07-09-00,515524,247525,99.73,44.53,Sunday,0
Andhra Pradesh,cluster 1,2023-07-09-01,253296,121701,99.81,45.78,Sunday,1
Andhra Pradesh,cluster 1,2023-07-09-02,163301,78041,99.74,46.56,Sunday,2
Andhra Pradesh,cluster 1,2023-07-09-03,177170,83224,98.8,51.39,Sunday,3
Andhra Pradesh,cluster 1,2023-07-09-04,288719,142102,99.85,55.01,Sunday,4
Andhra Pradesh,cluster 1,2023-07-09-05,885989,449322,99.88,57.35,Sunday,5
